ui/src/app/components/defender/configuration/policy-thresholds/policy-threshold-reaction-summary.jsx,,Box,,,,,,
,,Typography,,,,,,
ui/src/app/components/defender/configuration/policy-thresholds/policy-threshold-summary.tsx,,Typography,,,FlashOn,,,
ui/src/app/components/defender/configuration/policy-thresholds/policy-thresholds.jsx,,Typography,,,,,,
ui/src/app/components/defender/configuration/threshold-reaction-builder/forms/threshold-reaction-builder-reaction-type-picker.jsx,,theme (now grey),,,List,,Use theme.palette.grey[xxx],
,,,,,ListItem,,,
,,,,,ListItemText,,,
ui/src/app/components/defender/configuration/threshold-reaction-builder/forms/threshold-reaction-builder-threshold.jsx,,"CheckboxField (now FormControlLabel, FormHelperText & Checkbox)",,,FlashOn (now FlashOnIcon),,,
,,DropdownMenu.Item (now MenuItem),,,ErrorOutline (now ErrorOutlineIcon),,,
,,Typography,,,,,,
ui/src/app/components/defender/configuration/threshold-reaction-builder/forms/threshold-reaction-form-auto-mitigation.jsx,,Box,,,,,,
ui/src/app/components/defender/configuration/threshold-reaction-builder/forms/threshold-reaction-form-auto-mitigation.spec.jsx,-,,,-,,,,
ui/src/app/components/defender/configuration/threshold-reaction-builder/forms/threshold-reaction-form-list-item.jsx,,theme (now grey),,,ListItem,,Use theme.palette.grey[xxx],
ui/src/app/components/defender/configuration/threshold-reaction-builder/forms/threshold-reaction-form-new-reaction.jsx,,,,,ArrowForward (now ArrowIcon),,,
ui/src/app/components/defender/configuration/threshold-reaction-builder/forms/threshold-reaction-form-notification.jsx,,Dialog.Root (now Dialog),,,Email (now EmailIcon),,,
,,,,,Slide,,,
ui/src/app/components/defender/configuration/threshold-reaction-builder/forms/threshold-reaction-form-notification.spec.jsx,-,,,-,,,,
ui/src/app/components/defender/configuration/threshold-reaction-builder/threshold-reaction-builder-item.jsx,,Button,,,Accordion,,Use theme.palette.grey[xxx],
,,DeleteIcon,,,AccordionSummary,,,
